filename,Company,title,source_url,date_collected
jd_LAClippers_data_analyst_lead.txt,LA Clippers,Data Analyst Lead,https://www.nba.com/clippers/company/careers/openpositionlaclippers?gh_jid=4651394006&gh_src=9f5ba8c96us,4/27/2026
jd_alo_production_supplyplanning_intern.txt,ALO,Production & Supply Planning Intern,https://www.aloyoga.com/pages/careers,4/26/2026
jd_axs_associate_product_manager.txt,AXS,Associate Product Manager,https://job-boards.greenhouse.io/axs/jobs/8471910002?gh_src=p5e3kj0v2us,4/27/2026
jd_ephemeris_financial_strategy_intern.txt,Ephemeris ,Financial Strategy Intern,https://ats.rippling.com/ephemeris-net/jobs/95706c3c-6633-4fc7-bd6f-4af0c4e7ab97?jobSite=LinkedIn,4/24/2026
jd_fedex_analytics_intern.txt,Fedex ,Fedex Analytics Intern,https://careers.fedex.com/career-areas/student-programs/jobs,4/24/2026
jd_revolve_data_analyst_merchandising.txt,Revolve,Data Analyst Merchandising,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=02835ad7-1b2e-4eb2-9773-3454d03b1a3e&ccId=19000101_000001&type=MP&lang=en_US,4/27/2026
jd_roku_content_analytics_insights_intern.txt,Roku,Content Analytics and Insights Intern,https://www.weareroku.com/early-career,4/28/2026
jd_skechers_strategic_partnerships_intern.txt,Skechers,Strategic Partnerships Intern,https://careers.skechers.com/us/en/job/JR126150/Strategic-Partnerships-Intern-Summer-2026,4/26/2026
jd_sony_insights_research_analytics_summerintern.txt,Sony,Research Analytics Summer Intern ,https://www.sonypicturesjobs.com/job/-/-/22978/92619697136,4/27/2026
jd_tiktok_strategic_partner_manager_intern.txt,TikTok,Strategic Partner Manager Intern,https://lifeattiktok.com/search/7544150366742497554,4/24/2026
jd_tinder_corporate_rotational_analyst.txt,Tinder,Corporate Rotational Analyst,https://www.lifeattinder.com/positions/4dd01740-dc7f-4ae5-8b43-c9232cc078a7-newyork,4/27/2026
jd_universalmusicgroup_Brand_label_operations.txt,Universal Music Group,Brand Label Operations,https://www.universalmusic.com/careers/,4/27/2026
jd_vast_business_supply_chain_intern.txt,Vast,Business Supply Chain Intern,https://www.vastspace.com/careers?,
